编号,种植地块,作物编号,作物名称,作物类型,种植面积/亩,种植季次
0,A1,6,小麦,粮食,80.0,单季
1,A2,7,玉米,粮食,55.0,单季
2,A3,7,玉米,粮食,35.0,单季
3,A4,1,黄豆,粮食（豆类）,72.0,单季
4,A5,4,绿豆,粮食（豆类）,68.0,单季
5,A6,8,谷子,粮食,55.0,单季
6,B1,6,小麦,粮食,60.0,单季
7,B2,2,黑豆,粮食（豆类）,46.0,单季
8,B3,3,红豆,粮食（豆类）,40.0,单季
9,B4,4,绿豆,粮食（豆类）,28.0,单季
10,B5,5,爬豆,粮食（豆类）,25.0,单季
11,B6,8,谷子,粮食,86.0,单季
12,B7,6,小麦,粮食,55.0,单季
13,B8,8,谷子,粮食,44.0,单季
14,B9,9,高粱,粮食,50.0,单季
15,B10,10,黍子,粮食,25.0,单季
16,B11,1,黄豆,粮食（豆类）,60.0,单季
17,B12,7,玉米,粮食,45.0,单季
18,B13,14,莜麦,粮食,35.0,单季
19,B14,15,大麦,粮食,20.0,单季
20,C1,11,荞麦,粮食,15.0,单季
21,C2,12,南瓜,粮食,13.0,单季
22,C3,1,黄豆,粮食（豆类）,15.0,单季
23,C4,13,红薯,粮食,18.0,单季
24,C5,6,小麦,粮食,27.0,单季
25,C6,3,红豆,粮食（豆类）,20.0,单季
26,D1,20,土豆,蔬菜 ,15.0,第一季
27,D1,36,白萝卜,蔬菜 ,15.0,第二季
28,D2,28,小青菜,蔬菜 ,10.0,第一季
29,D2,35,大白菜,蔬菜 ,10.0,第二季
30,D3,21,西红柿,蔬菜 ,14.0,第一季
31,D3,35,大白菜,蔬菜 ,14.0,第二季
32,D4,22,茄子,蔬菜 ,6.0,第一季
33,D4,35,大白菜,蔬菜 ,6.0,第二季
34,D5,17,豇豆,蔬菜（豆类）,10.0,第一季
35,D5,36,白萝卜,蔬菜 ,10.0,第二季
36,D6,18,刀豆,蔬菜（豆类）,12.0,第一季
37,D6,37,红萝卜,蔬菜 ,12.0,第二季
38,D7,16,水稻,粮食,22.0,单季
39,D8,16,水稻,粮食,20.0,单季
40,E1,18,刀豆,蔬菜（豆类）,0.6,第一季
41,E1,38,榆黄菇,食用菌,0.6,第二季
42,E2,24,青椒,蔬菜 ,0.6,第一季
43,E2,38,榆黄菇,食用菌,0.6,第二季
44,E3,25,菜花,蔬菜 ,0.6,第一季
45,E3,38,榆黄菇,食用菌,0.6,第二季
46,E4,26,包菜,蔬菜 ,0.6,第一季
47,E4,39,香菇,食用菌,0.6,第二季
48,E5,28,小青菜,蔬菜 ,0.6,第一季
49,E5,39,香菇,食用菌,0.6,第二季
50,E6,27,油麦菜,蔬菜 ,0.6,第一季
51,E6,39,香菇,食用菌,0.6,第二季
52,E7,19,芸豆,蔬菜（豆类）,0.6,第一季
53,E7,40,白灵菇,食用菌,0.6,第二季
54,E8,19,芸豆,蔬菜（豆类）,0.6,第一季
55,E8,40,白灵菇,食用菌,0.6,第二季
56,E9,18,刀豆,蔬菜（豆类）,0.6,第一季
57,E9,40,白灵菇,食用菌,0.6,第二季
58,E10,17,豇豆,蔬菜（豆类）,0.6,第一季
59,E10,41,羊肚菌,食用菌,0.6,第二季
60,E11,17,豇豆,蔬菜（豆类）,0.6,第一季
61,E11,41,羊肚菌,食用菌,0.6,第二季
62,E12,22,茄子,蔬菜 ,0.6,第一季
63,E12,41,羊肚菌,食用菌,0.6,第二季
64,E13,21,西红柿,蔬菜 ,0.6,第一季
65,E13,41,羊肚菌,食用菌,0.6,第二季
66,E14,29,黄瓜,蔬菜 ,0.6,第一季
67,E14,41,羊肚菌,食用菌,0.6,第二季
68,E15,30,生菜,蔬菜 ,0.3,第一季
69,E15,27,油麦菜,蔬菜 ,0.3,第一季
70,E15,41,羊肚菌,食用菌,0.6,第二季
71,E16,31,辣椒,蔬菜 ,0.6,第一季
72,E16,41,羊肚菌,食用菌,0.6,第二季
73,F1,32,空心菜,蔬菜 ,0.3,第一季
74,F1,33,黄心菜,蔬菜 ,0.3,第一季
75,F1,24,青椒,蔬菜 ,0.3,第二季
76,F1,21,西红柿,蔬菜 ,0.3,第二季
77,F2,25,菜花,蔬菜 ,0.3,第一季
78,F2,26,包菜,蔬菜 ,0.3,第一季
79,F2,22,茄子,蔬菜 ,0.3,第二季
80,F2,29,黄瓜,蔬菜 ,0.3,第二季
81,F3,17,豇豆,蔬菜（豆类）,0.6,第一季
82,F3,28,小青菜,蔬菜 ,0.3,第二季
83,F3,30,生菜 ,蔬菜 ,0.3,第二季
84,F4,19,芸豆,蔬菜（豆类）,0.6,第一季
85,F4,34,芹菜,蔬菜 ,0.3,第二季
86,F4,23,菠菜 ,蔬菜 ,0.3,第二季
