,Unnamed: 0,序号,作物编号,作物名称,地块类型,种植季次,亩产量/斤,种植成本/(元/亩),销售单价/(元/斤),min_r,max_r
25,25,26,11,荞麦,梯田,单季,105,350,30.00-50.00,0.08571,0.14286
40,40,41,11,荞麦,山坡地,单季,100,350,30.00-50.00,0.08571,0.14286
10,10,11,11,荞麦,平旱地,单季,110,350,30.00-50.00,0.08571,0.14286
32,32,33,3,红豆,山坡地,单季,360,350,7.50-9.00,0.02143,0.02571
17,17,18,3,红豆,梯田,单季,380,350,7.50-9.00,0.02143,0.02571
2,2,3,3,红豆,平旱地,单季,400,350,7.50-9.00,0.02143,0.02571
24,24,25,10,黍子,梯田,单季,500,360,6.50-8.50,0.01806,0.02361
39,39,40,10,黍子,山坡地,单季,475,360,6.50-8.50,0.01806,0.02361
9,9,10,10,黍子,平旱地,单季,525,360,6.50-8.50,0.01806,0.02361
18,18,19,4,绿豆,梯田,单季,330,350,6.00-8.00,0.01714,0.02286
3,3,4,4,绿豆,平旱地,单季,350,350,6.00-8.00,0.01714,0.02286
33,33,34,4,绿豆,山坡地,单季,315,350,6.00-8.00,0.01714,0.02286
85,85,86,38,榆黄菇,普通大棚 ,第二季,5000,3000,50.00-65.00,0.01667,0.02167
34,34,35,5,爬豆,山坡地,单季,375,350,6.00-7.50,0.01714,0.02143
4,4,5,5,爬豆,平旱地,单季,415,350,6.00-7.50,0.01714,0.02143
19,19,20,5,爬豆,梯田,单季,395,350,6.00-7.50,0.01714,0.02143
31,31,32,2,黑豆,山坡地,单季,450,400,6.50-8.50,0.01625,0.02125
1,1,2,2,黑豆,平旱地,单季,500,400,6.50-8.50,0.01625,0.02125
16,16,17,2,黑豆,梯田,单季,475,400,6.50-8.50,0.01625,0.02125
22,22,23,8,谷子,梯田,单季,380,360,6.00-7.50,0.01667,0.02083
7,7,8,8,谷子,平旱地,单季,400,360,6.00-7.50,0.01667,0.02083
37,37,38,8,谷子,山坡地,单季,360,360,6.00-7.50,0.01667,0.02083
38,38,39,9,高粱,山坡地,单季,570,400,5.50-6.50,0.01375,0.01625
23,23,24,9,高粱,梯田,单季,600,400,5.50-6.50,0.01375,0.01625
8,8,9,9,高粱,平旱地,单季,630,400,5.50-6.50,0.01375,0.01625
13,13,14,14,莜麦,平旱地,单季,420,400,5.00-6.00,0.0125,0.015
43,43,44,14,莜麦,山坡地,单季,380,400,5.00-6.00,0.0125,0.015
28,28,29,14,莜麦,梯田,单季,400,400,5.00-6.00,0.0125,0.015
88,88,89,41,羊肚菌,普通大棚 ,第二季,1000,10000,80.00-120.00,0.008,0.012
45,45,46,16,水稻,水浇地,单季,500,680,6.00-8.00,0.00882,0.01176
14,14,15,15,大麦,平旱地,单季,525,350,3.00-4.00,0.00857,0.01143
29,29,30,15,大麦,梯田,单季,500,350,3.00-4.00,0.00857,0.01143
44,44,45,15,大麦,山坡地,单季,475,350,3.00-4.00,0.00857,0.01143
0,0,1,1,黄豆,平旱地,单季,400,400,2.50-4.00,0.00625,0.01
30,30,31,1,黄豆,山坡地,单季,360,400,2.50-4.00,0.00625,0.01
15,15,16,1,黄豆,梯田,单季,380,400,2.50-4.00,0.00625,0.01
86,86,87,39,香菇,普通大棚 ,第二季,4000,2000,18.00-20.00,0.009,0.01
5,5,6,6,小麦,平旱地,单季,800,450,3.00-4.00,0.00667,0.00889
35,35,36,6,小麦,山坡地,单季,720,450,3.00-4.00,0.00667,0.00889
20,20,21,6,小麦,梯田,单季,760,450,3.00-4.00,0.00667,0.00889
60,60,61,31,辣椒,水浇地,第一季,1600,1000,6.00-8.50,0.006,0.0085
84,84,85,37,红萝卜,水浇地,第二季,3000,500,2.50-4.00,0.005,0.008
47,47,48,18,刀豆,水浇地,第一季,2000,1000,5.50-8.00,0.0055,0.008
103,103,104,31,辣椒,智慧大棚,第二季,1800,1300,7.20-10.20,0.00554,0.00785
90,90,91,18,刀豆,智慧大棚,第二季,2200,1320,6.60-9.60,0.005,0.00727
78,78,79,31,辣椒,普通大棚 ,第一季,2000,1200,6.00-8.50,0.005,0.00708
21,21,22,7,玉米,梯田,单季,950,500,2.50-3.50,0.005,0.007
6,6,7,7,玉米,平旱地,单季,1000,500,2.50-3.50,0.005,0.007
36,36,37,7,玉米,山坡地,单季,900,500,2.50-3.50,0.005,0.007
65,65,66,18,刀豆,普通大棚 ,第一季,2400,1200,5.50-8.00,0.00458,0.00667
83,83,84,36,白萝卜,水浇地,第二季,4000,500,2.00-3.00,0.004,0.006
63,63,64,34,芹菜,水浇地,第一季,5500,900,3.20-4.80,0.00356,0.00533
106,106,107,34,芹菜,智慧大棚,第二季,6000,1200,3.80-5.80,0.00317,0.00483
46,46,47,17,豇豆,水浇地,第一季,3000,2000,7.00-9.00,0.0035,0.0045
81,81,82,34,芹菜,普通大棚 ,第一季,6600,1100,3.20-4.80,0.00291,0.00436
89,89,90,17,豇豆,智慧大棚,第二季,3200,2640,8.40-10.80,0.00318,0.00409
53,53,54,24,青椒,水浇地,第一季,2400,1600,4.00-6.50,0.0025,0.00406
57,57,58,28,小青菜,水浇地,第一季,3200,1600,5.00-6.50,0.00313,0.00406
48,48,49,19,芸豆,水浇地,第一季,3000,2000,5.00-8.00,0.0025,0.004
50,50,51,21,西红柿,水浇地,第一季,2400,2000,5.00-7.50,0.0025,0.00375
64,64,65,17,豇豆,普通大棚 ,第一季,3600,2400,7.00-9.00,0.00292,0.00375
59,59,60,30,生菜 ,水浇地,第一季,4100,1600,4.50-6.00,0.00281,0.00375
56,56,57,27,油麦菜,水浇地,第一季,4100,1600,4.00-6.00,0.0025,0.00375
91,91,92,19,芸豆,智慧大棚,第二季,3200,2640,6.00-9.60,0.00227,0.00364
96,96,97,24,青椒,智慧大棚,第二季,2700,2200,5.80-7.80,0.00264,0.00355
100,100,101,28,小青菜,智慧大棚,第二季,3600,2200,6.00-7.80,0.00273,0.00355
93,93,94,21,西红柿,智慧大棚,第二季,2700,2640,6.00-9.00,0.00227,0.00341
66,66,67,19,芸豆,普通大棚 ,第一季,3600,2400,5.00-8.00,0.00208,0.00333
99,99,100,27,油麦菜,智慧大棚,第二季,4500,2200,4.80-7.20,0.00218,0.00327
102,102,103,30,生菜 ,智慧大棚,第二季,4500,2200,5.40-7.20,0.00245,0.00327
71,71,72,24,青椒,普通大棚 ,第一季,3000,2000,4.00-6.50,0.002,0.00325
75,75,76,28,小青菜,普通大棚 ,第一季,4000,2000,5.00-6.50,0.0025,0.00325
68,68,69,21,西红柿,普通大棚 ,第一季,3000,2400,5.00-7.50,0.00208,0.00313
51,51,52,22,茄子,水浇地,第一季,6400,2000,5.00-6.00,0.0025,0.003
77,77,78,30,生菜 ,普通大棚 ,第一季,5000,2000,4.50-6.00,0.00225,0.003
74,74,75,27,油麦菜,普通大棚 ,第一季,5000,2000,4.00-6.00,0.002,0.003
52,52,53,23,菠菜 ,水浇地,第一季,2700,2300,4.80-6.70,0.00209,0.00291
58,58,59,29,黄瓜,水浇地,第一季,12000,2900,6.00-8.00,0.00207,0.00276
94,94,95,22,茄子,智慧大棚,第二季,7200,2640,6.00-7.20,0.00227,0.00273
95,95,96,23,菠菜 ,智慧大棚,第二季,3000,3000,5.80-8.00,0.00193,0.00267
55,55,56,26,包菜,水浇地,第一季,3700,2900,5.50-7.50,0.0019,0.00259
54,54,55,25,菜花,水浇地,第一季,3300,2400,5.00-6.00,0.00208,0.0025
62,62,63,33,黄心菜,水浇地,第一季,5000,2000,4.00-5.00,0.002,0.0025
69,69,70,22,茄子,普通大棚 ,第一季,8000,2400,5.00-6.00,0.00208,0.0025
101,101,102,29,黄瓜,智慧大棚,第二季,13500,3850,7.20-9.60,0.00187,0.00249
70,70,71,23,菠菜 ,普通大棚 ,第一季,3300,2700,4.80-6.70,0.00178,0.00248
98,98,99,26,包菜,智慧大棚,第二季,4100,3850,6.60-9.00,0.00171,0.00234
76,76,77,29,黄瓜,普通大棚 ,第一季,15000,3500,6.00-8.00,0.00171,0.00229
49,49,50,20,土豆,水浇地,第一季,2000,2000,3.00-4.50,0.0015,0.00225
105,105,106,33,黄心菜,智慧大棚,第二季,5400,2750,4.80-6.00,0.00175,0.00218
97,97,98,25,菜花,智慧大棚,第二季,3600,3300,6.00-7.20,0.00182,0.00218
73,73,74,26,包菜,普通大棚 ,第一季,4500,3500,5.50-7.50,0.00157,0.00214
92,92,93,20,土豆,智慧大棚,第二季,2200,2640,3.60-5.40,0.00136,0.00205
12,12,13,13,红薯,平旱地,单季,2200,2000,2.50-4.00,0.00125,0.002
26,26,27,12,南瓜,梯田,单季,2850,1000,1.00-2.00,0.001,0.002
27,27,28,13,红薯,梯田,单季,2100,2000,2.50-4.00,0.00125,0.002
41,41,42,12,南瓜,山坡地,单季,2700,1000,1.00-2.00,0.001,0.002
42,42,43,13,红薯,山坡地,单季,2000,2000,2.50-4.00,0.00125,0.002
72,72,73,25,菜花,普通大棚 ,第一季,4000,3000,5.00-6.00,0.00167,0.002
11,11,12,12,南瓜,平旱地,单季,3000,1000,1.00-2.00,0.001,0.002
80,80,81,33,黄心菜,普通大棚 ,第一季,6000,2500,4.00-5.00,0.0016,0.002
67,67,68,20,土豆,普通大棚 ,第一季,2400,2400,3.00-4.50,0.00125,0.00187
87,87,88,40,白灵菇,普通大棚 ,第二季,10000,10000,14.00-18.00,0.0014,0.0018
82,82,83,35,大白菜,水浇地,第二季,5000,2000,2.00-3.00,0.001,0.0015
61,61,62,32,空心菜,水浇地,第一季,10000,4100,3.00-6.00,0.00073,0.00146
104,104,105,32,空心菜,智慧大棚,第二季,11000,5500,3.60-7.20,0.00065,0.00131
79,79,80,32,空心菜,普通大棚 ,第一季,12000,5000,3.00-6.00,0.0006,0.0012
